"","area","st","occ_code","occ_title","tot_emp","h_mean","a_mean","h_median","a_median","year","State","Est_Population"
"588","56","WY",1062,"family and general practitioners",260,53.9,112120,55.68,115820,2001,"Wyoming",494657
"589","56","WY",1141,"registered nurses",3640,19.04,39590,18.95,39420,2001,"Wyoming",494657
"590","56","WY",2021,"dental hygienists",300,23.69,49270,23.82,49550,2001,"Wyoming",494657
"591","01","AL",1020,"dentists",790,75.59,157230,NA,NA,2002,"Alabama",4480089
"592","01","AL",1062,"family and general practitioners",900,66.81,138960,62.54,130090,2002,"Alabama",4480089
"593","01","AL",1141,"registered nurses",34970,21.21,44120,20.6,42850,2002,"Alabama",4480089
"594","01","AL",2021,"dental hygienists",2270,15.62,32490,15.95,33180,2002,"Alabama",4480089
"595","02","AK",1020,"dentists",NA,62.91,130840,61.21,127320,2002,"Alaska",642337
"596","02","AK",1062,"family and general practitioners",310,59.94,124670,59.79,124370,2002,"Alaska",642337
"597","02","AK",1141,"registered nurses",5190,26.78,55700,26.45,55020,2002,"Alaska",642337
"598","02","AK",2021,"dental hygienists",490,29.55,61460,32.26,67110,2002,"Alaska",642337
"599","04","AZ",1020,"dentists",2690,70.81,147290,65.13,135470,2002,"Arizona",5396255
"600","04","AZ",1062,"family and general practitioners",2090,73.8,153500,NA,NA,2002,"Arizona",5396255
"601","04","AZ",1141,"registered nurses",32450,23.94,49800,23.35,48580,2002,"Arizona",5396255
"602","04","AZ",2021,"dental hygienists",1710,28.3,58870,28.5,59280,2002,"Arizona",5396255
"603","05","AR",1020,"dentists",520,60.32,125470,61.46,127830,2002,"Arkansas",2705927
"604","05","AR",1062,"family and general practitioners",800,77.94,162110,NA,NA,2002,"Arkansas",2705927
"605","05","AR",1141,"registered nurses",18660,19.8,41180,19.2,39940,2002,"Arkansas",2705927
"606","05","AR",2021,"dental hygienists",1310,20.92,43520,22.91,47660,2002,"Arkansas",2705927
"607","06","CA",1020,"dentists",9910,61.62,128180,53.25,110770,2002,"California",34871843
"608","06","CA",1062,"family and general practitioners",10000,48.04,99920,47.13,98020,2002,"California",34871843
"609","06","CA",1141,"registered nurses",206140,29.01,60350,28.38,59040,2002,"California",34871843
"610","06","CA",2021,"dental hygienists",17770,41.35,86020,38.35,79770,2002,"California",34871843
"611","08","CO",1020,"dentists",1520,80.5,167440,NA,NA,2002,"Colorado",4490406
"612","08","CO",1062,"family and general practitioners",580,57.21,119000,55.65,115760,2002,"Colorado",4490406
"613","08","CO",1141,"registered nurses",29210,23.47,48820,23.17,48200,2002,"Colorado",4490406
"614","08","CO",2021,"dental hygienists",2820,31.97,66490,34.5,71770,2002,"Colorado",4490406
"615","09","CT",1020,"dentists",1740,62.45,129900,53.24,110750,2002,"Connecticut",3458749
"616","09","CT",1062,"family and general practitioners",1200,69.22,143970,64.99,135170,2002,"Connecticut",3458749
"617","09","CT",1141,"registered nurses",31330,26.4,54910,26.05,54170,2002,"Connecticut",3458749
"618","09","CT",2021,"dental hygienists",2970,28.16,58580,29.23,60800,2002,"Connecticut",3458749
"619","10","DE",1020,"dentists",290,65.57,136390,60.75,126350,2002,"Delaware",806169
"620","10","DE",1062,"family and general practitioners",620,52.06,108280,41.88,87120,2002,"Delaware",806169
"621","10","DE",1141,"registered nurses",6470,25.9,53870,25.62,53280,2002,"Delaware",806169
"622","10","DE",2021,"dental hygienists",520,22.82,47460,24.15,50240,2002,"Delaware",806169
"623","11","DC",1020,"dentists",290,52.12,108410,33.78,70270,2002,"District of Columbia",573158
"624","11","DC",1062,"family and general practitioners",2660,35.51,73850,20.79,43250,2002,"District of Columbia",573158
"625","11","DC",1141,"registered nurses",8070,26.68,55500,26.54,55210,2002,"District of Columbia",573158
"626","11","DC",2021,"dental hygienists",NA,23.8,49500,22.91,47660,2002,"District of Columbia",573158
"627","12","FL",1020,"dentists",5640,63.75,132590,63.27,131610,2002,"Florida",16689370
"628","12","FL",1062,"family and general practitioners",10340,65.01,135210,62.05,129070,2002,"Florida",16689370
"629","12","FL",1141,"registered nurses",130000,22.62,47040,21.78,45310,2002,"Florida",16689370
"630","12","FL",2021,"dental hygienists",6880,28.55,59390,24.33,50610,2002,"Florida",16689370
"631","13","GA",1020,"dentists",2230,65.85,136960,55.2,114820,2002,"Georgia",8508256
"632","13","GA",1062,"family and general practitioners",2530,74.29,154520,68.78,143060,2002,"Georgia",8508256
"633","13","GA",1141,"registered nurses",55290,22.53,46870,21.92,45590,2002,"Georgia",8508256
"634","13","GA",2021,"dental hygienists",4740,22.03,45820,23.53,48950,2002,"Georgia",8508256
"635","15","HI",1020,"dentists",550,64.55,134260,54.58,113530,2002,"Hawaii",1239613
"636","15","HI",1062,"family and general practitioners",360,67.68,140770,64.04,133200,2002,"Hawaii",1239613
"637","15","HI",1141,"registered nurses",7680,27.55,57300,27.87,57980,2002,"Hawaii",1239613
"638","15","HI",2021,"dental hygienists",780,22.49,46780,23.9,49720,2002,"Hawaii",1239613
"639","16","ID",1020,"dentists",430,87.3,181580,NA,NA,2002,"Idaho",1340372
"640","16","ID",1062,"family and general practitioners",510,56.75,118040,56.69,117920,2002,"Idaho",1340372
"641","16","ID",1141,"registered nurses",10050,22.14,46050,21.23,44160,2002,"Idaho",1340372
"642","16","ID",2021,"dental hygienists",1070,26.28,54660,26.68,55500,2002,"Idaho",1340372
"643","17","IL",1020,"dentists",5290,44.31,92150,31.03,64550,2002,"Illinois",12525556
"644","17","IL",1062,"family and general practitioners",5750,65.94,137150,60.38,125580,2002,"Illinois",12525556
"645","17","IL",1141,"registered nurses",98270,22.71,47230,22.19,46150,2002,"Illinois",12525556
"646","17","IL",2021,"dental hygienists",3260,24.32,50580,25.74,53540,2002,"Illinois",12525556
"647","18","IN",1020,"dentists",1510,67.01,139390,65.02,135240,2002,"Indiana",6155967
"648","18","IN",1062,"family and general practitioners",3000,70.72,147100,67.83,141090,2002,"Indiana",6155967
"649","18","IN",1141,"registered nurses",49840,20.94,43550,20.64,42930,2002,"Indiana",6155967
"650","18","IN",2021,"dental hygienists",3350,24.04,50010,24.62,51210,2002,"Indiana",6155967
"651","19","IA",1020,"dentists",780,77.2,160580,NA,NA,2002,"Iowa",2934234
"652","19","IA",1062,"family and general practitioners",1330,77.87,161960,NA,NA,2002,"Iowa",2934234
"653","19","IA",1141,"registered nurses",27690,19.14,39810,18.72,38940,2002,"Iowa",2934234
"654","19","IA",2021,"dental hygienists",1690,23.76,49420,24.34,50620,2002,"Iowa",2934234
"655","20","KS",1020,"dentists",460,57.35,119280,49.84,103660,2002,"Kansas",2713535
"656","20","KS",1062,"family and general practitioners",810,78.19,162630,NA,NA,2002,"Kansas",2713535
"657","20","KS",1141,"registered nurses",24900,19.84,41270,19.33,40210,2002,"Kansas",2713535
"658","20","KS",2021,"dental hygienists",2140,24.75,51480,24.98,51960,2002,"Kansas",2713535
"659","21","KY",1020,"dentists",810,64,133120,60.59,126020,2002,"Kentucky",4089875
"660","21","KY",1062,"family and general practitioners",750,77.31,160800,NA,NA,2002,"Kentucky",4089875
"661","21","KY",1141,"registered nurses",35230,21.03,43750,20.52,42690,2002,"Kentucky",4089875
"662","21","KY",2021,"dental hygienists",1300,19.33,40200,20.26,42150,2002,"Kentucky",4089875
"663","22","LA",1020,"dentists",1270,58.72,122130,55.5,115450,2002,"Louisiana",4497267
"664","22","LA",1062,"family and general practitioners",850,78.56,163410,NA,NA,2002,"Louisiana",4497267
"665","22","LA",1141,"registered nurses",36530,21.72,45180,21.11,43920,2002,"Louisiana",4497267
"666","22","LA",2021,"dental hygienists",1660,21.7,45140,23.62,49130,2002,"Louisiana",4497267
"667","23","ME",1020,"dentists",660,49.29,102530,33.74,70170,2002,"Maine",1295960
"668","23","ME",1062,"family and general practitioners",NA,57,118560,54.24,112810,2002,"Maine",1295960
"669","23","ME",1141,"registered nurses",12100,22.3,46390,21.74,45230,2002,"Maine",1295960
"670","23","ME",2021,"dental hygienists",880,23.41,48680,23.82,49550,2002,"Maine",1295960
"671","24","MD",1020,"dentists",2360,63.55,132180,51.6,107330,2002,"Maryland",5440389
"672","24","MD",1062,"family and general practitioners",2630,77.25,160670,NA,NA,2002,"Maryland",5440389
"673","24","MD",1141,"registered nurses",47030,29,60320,29.66,61680,2002,"Maryland",5440389
"674","24","MD",2021,"dental hygienists",1600,25.91,53890,26.01,54100,2002,"Maryland",5440389
"675","25","MA",1020,"dentists",2690,72.26,150300,NA,NA,2002,"Massachusetts",6417206
"676","25","MA",1062,"family and general practitioners",2520,65.95,137180,63.35,131770,2002,"Massachusetts",6417206
"677","25","MA",1141,"registered nurses",71750,26.48,55080,25.71,53480,2002,"Massachusetts",6417206
"678","25","MA",2021,"dental hygienists",5390,28.6,59490,29.81,61990,2002,"Massachusetts",6417206
"679","26","MI",1020,"dentists",3870,67.16,139700,63.52,132120,2002,"Michigan",10015710
"680","26","MI",1062,"family and general practitioners",3520,64.39,133920,62.04,129050,2002,"Michigan",10015710
"681","26","MI",1141,"registered nurses",77660,24.06,50040,23.68,49260,2002,"Michigan",10015710
"682","26","MI",2021,"dental hygienists",8330,23.82,49540,24.24,50420,2002,"Michigan",10015710
"683","27","MN",1020,"dentists",1250,68.87,143260,63.34,131750,2002,"Minnesota",5018935
"684","27","MN",1062,"family and general practitioners",2500,73.89,153690,68.69,142880,2002,"Minnesota",5018935
"685","27","MN",1141,"registered nurses",51310,25.14,52290,24.92,51830,2002,"Minnesota",5018935
"686","27","MN",2021,"dental hygienists",4390,26.69,55520,27.96,58150,2002,"Minnesota",5018935
"687","28","MS",1020,"dentists",370,41.63,86600,29.54,61440,2002,"Mississippi",2858681
"688","28","MS",1062,"family and general practitioners",1090,64.86,134910,57.77,120160,2002,"Mississippi",2858681
"689","28","MS",1141,"registered nurses",23180,20.7,43050,19.77,41130,2002,"Mississippi",2858681
"690","28","MS",2021,"dental hygienists",640,16.74,34820,16.35,34000,2002,"Mississippi",2858681
"691","29","MO",1020,"dentists",1780,66.96,139270,64.13,133390,2002,"Missouri",5674825
"692","29","MO",1062,"family and general practitioners",2790,63.42,131910,58.97,122650,2002,"Missouri",5674825
"693","29","MO",1141,"registered nurses",50790,21.55,44830,20.75,43160,2002,"Missouri",5674825
"694","29","MO",2021,"dental hygienists",2060,26.54,55200,27.17,56510,2002,"Missouri",5674825
"695","30","MT",1020,"dentists",290,45.21,94040,42.87,89180,2002,"Montana",911667
"696","30","MT",1062,"family and general practitioners",320,74.49,154940,69.16,143860,2002,"Montana",911667
"697","30","MT",1141,"registered nurses",7650,20.02,41630,19.78,41150,2002,"Montana",911667
"698","30","MT",2021,"dental hygienists",540,23.57,49030,24.43,50820,2002,"Montana",911667
"699","31","NE",1020,"dentists",560,69.7,144970,58.95,122620,2002,"Nebraska",1728292
"700","31","NE",1062,"family and general practitioners",710,72.52,150830,68.95,143410,2002,"Nebraska",1728292
"701","31","NE",1141,"registered nurses",16320,20.41,42460,20.17,41950,2002,"Nebraska",1728292
"702","31","NE",2021,"dental hygienists",740,21.66,45050,23.04,47920,2002,"Nebraska",1728292
"703","32","NV",1020,"dentists",800,89.93,187060,NA,NA,2002,"Nevada",2173791
"704","32","NV",1062,"family and general practitioners",NA,98.53,204940,NA,NA,2002,"Nevada",2173791
"705","32","NV",1141,"registered nurses",12740,25.54,53130,25.45,52930,2002,"Nevada",2173791
"706","32","NV",2021,"dental hygienists",1030,36.66,76260,37.85,78720,2002,"Nevada",2173791
"707","33","NH",1020,"dentists",740,70.38,146390,67.67,140750,2002,"New Hampshire",1269089
"708","33","NH",1062,"family and general practitioners",670,79.89,166170,NA,NA,2002,"New Hampshire",1269089
"709","33","NH",1141,"registered nurses",11870,22.07,45910,21.44,44600,2002,"New Hampshire",1269089
"710","33","NH",2021,"dental hygienists",820,27.64,57500,27.16,56490,2002,"New Hampshire",1269089
"711","34","NJ",1020,"dentists",3000,70.82,147310,66.98,139330,2002,"New Jersey",8552643
"712","34","NJ",1062,"family and general practitioners",3350,68.04,141520,63.49,132070,2002,"New Jersey",8552643
"713","34","NJ",1141,"registered nurses",73530,26.36,54820,26.22,54530,2002,"New Jersey",8552643
"714","34","NJ",2021,"dental hygienists",4780,27.36,56910,28.24,58740,2002,"New Jersey",8552643
"715","35","NM",1020,"dentists",360,53.74,111780,44.01,91540,2002,"New Mexico",1855309
"716","35","NM",1062,"family and general practitioners",1730,62.26,129500,59.34,123430,2002,"New Mexico",1855309
"717","35","NM",1141,"registered nurses",11660,22.63,47070,22.22,46220,2002,"New Mexico",1855309
"718","35","NM",2021,"dental hygienists",480,26.65,55420,26.75,55650,2002,"New Mexico",1855309
"719","36","NY",1020,"dentists",6770,61.24,127380,57.95,120530,2002,"New York",19137800
"720","36","NY",1062,"family and general practitioners",NA,64.67,134520,60.37,125570,2002,"New York",19137800
"721","36","NY",1141,"registered nurses",163600,26.97,56090,26.17,54430,2002,"New York",19137800
"722","36","NY",2021,"dental hygienists",10000,26.09,54260,26.2,54490,2002,"New York",19137800
"723","37","NC",1020,"dentists",3090,63.1,131240,62.01,128990,2002,"North Carolina",8326201
"724","37","NC",1062,"family and general practitioners",4010,59.31,123360,58.62,121930,2002,"North Carolina",8326201
"725","37","NC",1141,"registered nurses",66290,22.29,46370,21.66,45050,2002,"North Carolina",8326201
"726","37","NC",2021,"dental hygienists",4820,22.4,46600,23.93,49780,2002,"North Carolina",8326201
"727","38","ND",1020,"dentists",NA,64.27,133690,53.09,110420,2002,"North Dakota",638168
"728","38","ND",1062,"family and general practitioners",290,82.31,171200,NA,NA,2002,"North Dakota",638168
"729","38","ND",1141,"registered nurses",6180,20.67,42990,19.97,41540,2002,"North Dakota",638168
"730","38","ND",2021,"dental hygienists",350,24.77,51520,25.37,52760,2002,"North Dakota",638168
"731","39","OH",1020,"dentists",3860,77.67,161550,NA,NA,2002,"Ohio",11407889
"732","39","OH",1062,"family and general practitioners",6500,69.08,143680,64.72,134620,2002,"Ohio",11407889
"733","39","OH",1141,"registered nurses",104810,22.5,46810,21.92,45590,2002,"Ohio",11407889
"734","39","OH",2021,"dental hygienists",6530,24.88,51760,25.13,52270,2002,"Ohio",11407889
"735","40","OK",1020,"dentists",1290,74.19,154320,NA,NA,2002,"Oklahoma",3489080
"736","40","OK",1062,"family and general practitioners",1790,74.46,154870,NA,NA,2002,"Oklahoma",3489080
"737","40","OK",1141,"registered nurses",21610,20.49,42620,20.03,41660,2002,"Oklahoma",3489080
"738","40","OK",2021,"dental hygienists",1300,24.68,51330,25.44,52910,2002,"Oklahoma",3489080
"739","41","OR",1062,"family and general practitioners",890,60.78,126430,56.75,118040,2002,"Oregon",3513424
"740","41","OR",1141,"registered nurses",26370,24.96,51910,24.92,51830,2002,"Oregon",3513424
"741","41","OR",2021,"dental hygienists",2140,30.08,62570,30.59,63630,2002,"Oregon",3513424
"742","42","PA",1020,"dentists",3040,60.54,125910,50.91,105880,2002,"Pennsylvania",12331031
"743","42","PA",1062,"family and general practitioners",7860,65,135210,62.45,129890,2002,"Pennsylvania",12331031
"744","42","PA",1141,"registered nurses",117470,23.05,47940,22.47,46730,2002,"Pennsylvania",12331031
"745","42","PA",2021,"dental hygienists",7110,23.88,49680,24.63,51240,2002,"Pennsylvania",12331031
"746","44","RI",1020,"dentists",310,75.16,156330,NA,NA,2002,"Rhode Island",1065995
"747","44","RI",1062,"family and general practitioners",390,81.16,168820,NA,NA,2002,"Rhode Island",1065995
"748","44","RI",1141,"registered nurses",11220,24.92,51830,24.82,51620,2002,"Rhode Island",1065995
"749","44","RI",2021,"dental hygienists",560,25.63,53310,25.73,53530,2002,"Rhode Island",1065995
"750","45","SC",1020,"dentists",1690,68.47,142420,59.79,124360,2002,"South Carolina",4107795
"751","45","SC",1062,"family and general practitioners",1130,67.01,139380,64.07,133270,2002,"South Carolina",4107795
"752","45","SC",1141,"registered nurses",28610,22.99,47820,22,45770,2002,"South Carolina",4107795
"753","45","SC",2021,"dental hygienists",1630,23.25,48360,21.43,44580,2002,"South Carolina",4107795
"754","46","SD",1020,"dentists",250,52.73,109670,41.5,86320,2002,"South Dakota",760020
"755","46","SD",1062,"family and general practitioners",330,48.95,101820,43.67,90840,2002,"South Dakota",760020
"756","46","SD",1141,"registered nurses",8410,19.52,40600,18.97,39460,2002,"South Dakota",760020
"757","46","SD",2021,"dental hygienists",360,21.52,44770,21.88,45520,2002,"South Dakota",760020
"758","47","TN",1020,"dentists",1840,46.21,96130,26.05,54180,2002,"Tennessee",5795918
"759","47","TN",1062,"family and general practitioners",2170,57.46,119510,49.4,102740,2002,"Tennessee",5795918
"760","47","TN",1141,"registered nurses",53020,22.25,46280,20.63,42900,2002,"Tennessee",5795918
"761","47","TN",2021,"dental hygienists",2020,27.17,56520,26.68,55500,2002,"Tennessee",5795918
"762","48","TX",1020,"dentists",5810,62.52,130030,54.53,113430,2002,"Texas",21690325
"763","48","TX",1062,"family and general practitioners",6090,66.53,138370,63.53,132150,2002,"Texas",21690325
"764","48","TX",1141,"registered nurses",136420,22.76,47340,22.05,45870,2002,"Texas",21690325
"765","48","TX",2021,"dental hygienists",9230,27.73,57680,28.35,58970,2002,"Texas",21690325
"766","49","UT",1020,"dentists",NA,56.42,117340,49.2,102330,2002,"Utah",2324815
"767","49","UT",1062,"family and general practitioners",600,65.79,136840,63.81,132710,2002,"Utah",2324815
"768","49","UT",1141,"registered nurses",13820,22.54,46880,22.1,45960,2002,"Utah",2324815
"769","49","UT",2021,"dental hygienists",NA,33.86,70440,30.78,64020,2002,"Utah",2324815
"770","50","VT",1020,"dentists",NA,54.7,113780,51.88,107920,2002,"Vermont",615442
"771","50","VT",1062,"family and general practitioners",380,60.3,125420,57.85,120330,2002,"Vermont",615442
"772","50","VT",1141,"registered nurses",5440,21.56,44850,21.06,43800,2002,"Vermont",615442
"773","50","VT",2021,"dental hygienists",610,25.84,53760,26.15,54390,2002,"Vermont",615442
"774","51","VA",1020,"dentists",2340,77.6,161410,NA,NA,2002,"Virginia",7286873
"775","51","VA",1062,"family and general practitioners",2670,60.43,125690,55.23,114870,2002,"Virginia",7286873
"776","51","VA",1141,"registered nurses",50780,22.89,47610,21.62,44960,2002,"Virginia",7286873
"777","51","VA",2021,"dental hygienists",3720,29.84,62060,28.99,60290,2002,"Virginia",7286873
"778","53","WA",1020,"dentists",1200,61.47,127860,53.83,111980,2002,"Washington",6052349
"779","53","WA",1062,"family and general practitioners",2770,70.42,146460,66.89,139130,2002,"Washington",6052349
"780","53","WA",1141,"registered nurses",44150,25.92,53920,25.66,53380,2002,"Washington",6052349
"781","53","WA",2021,"dental hygienists",4350,34.66,72100,34.57,71910,2002,"Washington",6052349
"782","54","WV",1020,"dentists",500,46.27,96230,44.57,92700,2002,"West Virginia",1805414
"783","54","WV",1062,"family and general practitioners",910,73.59,153060,68.22,141900,2002,"West Virginia",1805414
"784","54","WV",1141,"registered nurses",15720,20.09,41800,19.11,39740,2002,"West Virginia",1805414
"785","54","WV",2021,"dental hygienists",650,18.4,38280,18.62,38740,2002,"West Virginia",1805414
"786","55","WI",1020,"dentists",2500,50.03,104070,46.57,96870,2002,"Wisconsin",5445162
"787","55","WI",1141,"registered nurses",46560,23,47840,22.45,46690,2002,"Wisconsin",5445162
"788","55","WI",2021,"dental hygienists",3340,24.02,49970,24.76,51510,2002,"Wisconsin",5445162
"789","56","WY",1020,"dentists",120,61.93,128820,53.67,111630,2002,"Wyoming",500017
"790","56","WY",1062,"family and general practitioners",200,61.21,127310,56.11,116710,2002,"Wyoming",500017
"791","56","WY",1141,"registered nurses",3530,20.19,41980,19.99,41590,2002,"Wyoming",500017
"792","56","WY",2021,"dental hygienists",300,23.94,49790,24.06,50040,2002,"Wyoming",500017
"793","01","AL",1020,"dentists",780,75.91,157890,NA,NA,2003,"Alabama",4503491
"794","01","AL",1062,"family and general practitioners",1050,67.92,141280,62.67,130360,2003,"Alabama",4503491
"795","01","AL",1141,"registered nurses",35470,21.54,44800,20.81,43280,2003,"Alabama",4503491
"796","01","AL",2021,"dental hygienists",2170,16.02,33320,16.35,34010,2003,"Alabama",4503491
"797","02","AK",1020,"dentists",NA,73.34,152550,69.49,144550,2003,"Alaska",648414
"798","02","AK",1062,"family and general practitioners",320,54.74,113870,43.63,90750,2003,"Alaska",648414
"799","02","AK",1141,"registered nurses",5090,26.76,55670,26.47,55070,2003,"Alaska",648414
"800","02","AK",2021,"dental hygienists",510,28.56,59410,31.89,66320,2003,"Alaska",648414
"801","04","AZ",1020,"dentists",2750,68.69,142870,64.7,134570,2003,"Arizona",5510364
"802","04","AZ",1062,"family and general practitioners",2250,76.97,160100,NA,NA,2003,"Arizona",5510364
"803","04","AZ",1141,"registered nurses",32200,24.34,50620,23.88,49670,2003,"Arizona",5510364
"804","04","AZ",2021,"dental hygienists",1700,28.69,59680,28.89,60090,2003,"Arizona",5510364
"805","05","AR",1020,"dentists",920,50.79,105640,42.28,87950,2003,"Arkansas",2724816
"806","05","AR",1062,"family and general practitioners",1000,78.02,162280,NA,NA,2003,"Arkansas",2724816
"807","05","AR",1141,"registered nurses",18990,20.36,42360,19.98,41550,2003,"Arkansas",2724816
"808","05","AR",2021,"dental hygienists",1140,20.63,42900,22.3,46390,2003,"Arkansas",2724816
"809","06","CA",1020,"dentists",10690,63.44,131960,58.96,122630,2003,"California",35253159
"810","06","CA",1062,"family and general practitioners",9060,51.62,107370,50.69,105430,2003,"California",35253159
"811","06","CA",1141,"registered nurses",206280,29.94,62270,29.47,61300,2003,"California",35253159
"812","06","CA",2021,"dental hygienists",16990,41.21,85720,39.82,82820,2003,"California",35253159
"813","08","CO",1020,"dentists",1570,80.7,167860,NA,NA,2003,"Colorado",4528732
"814","08","CO",1062,"family and general practitioners",520,63.46,131990,56.47,117450,2003,"Colorado",4528732
"815","08","CO",1141,"registered nurses",29630,24.12,50160,23.88,49670,2003,"Colorado",4528732
"816","08","CO",2021,"dental hygienists",2860,32.3,67180,35.01,72830,2003,"Colorado",4528732
"817","09","CT",1020,"dentists",1620,62.4,129780,53.31,110880,2003,"Connecticut",3484336
"818","09","CT",1062,"family and general practitioners",810,73.42,152710,68.5,142490,2003,"Connecticut",3484336
"819","09","CT",1141,"registered nurses",31970,27.12,56400,26.58,55280,2003,"Connecticut",3484336
"820","09","CT",2021,"dental hygienists",3080,27.82,57860,29.07,60470,2003,"Connecticut",3484336
"821","10","DE",1020,"dentists",290,70.72,147100,NA,NA,2003,"Delaware",818003
"822","10","DE",1062,"family and general practitioners",550,54.28,112890,44.95,93500,2003,"Delaware",818003
"823","10","DE",1141,"registered nurses",6330,26.81,55770,26.61,55340,2003,"Delaware",818003
"824","10","DE",2021,"dental hygienists",520,23.89,49690,25.65,53350,2003,"Delaware",818003
"825","11","DC",1062,"family and general practitioners",2830,34.5,71760,20.72,43100,2003,"District of Columbia",568502
"826","11","DC",1141,"registered nurses",7600,27.02,56200,26.98,56130,2003,"District of Columbia",568502
"827","11","DC",2021,"dental hygienists",NA,25.3,52620,23.12,48080,2003,"District of Columbia",568502
"828","12","FL",1020,"dentists",5840,64.31,133770,64.28,133700,2003,"Florida",17004085
"829","12","FL",1062,"family and general practitioners",10690,75.26,156540,NA,NA,2003,"Florida",17004085
"830","12","FL",1141,"registered nurses",131260,23.05,47940,22.2,46180,2003,"Florida",17004085
"831","12","FL",2021,"dental hygienists",7220,29.66,61700,25.24,52490,2003,"Florida",17004085
"832","13","GA",1020,"dentists",1960,67.38,140140,58.93,122570,2003,"Georgia",8622793
"833","13","GA",1062,"family and general practitioners",2970,74.39,154730,69.65,144870,2003,"Georgia",8622793
"834","13","GA",1141,"registered nurses",56210,22.9,47630,22.39,46570,2003,"Georgia",8622793
"835","13","GA",2021,"dental hygienists",4210,22.13,46030,23.66,49220,2003,"Georgia",8622793
"836","15","HI",1020,"dentists",580,65.05,135300,55.27,114960,2003,"Hawaii",1251154
"837","15","HI",1062,"family and general practitioners",370,71.56,148840,67.09,139540,2003,"Hawaii",1251154
"838","15","HI",1141,"registered nurses",7560,28.12,58490,28.38,59030,2003,"Hawaii",1251154
"839","15","HI",2021,"dental hygienists",800,22.8,47420,24.2,50330,2003,"Hawaii",1251154
"840","16","ID",1020,"dentists",450,87.62,182240,NA,NA,2003,"Idaho",1363380
"841","16","ID",1062,"family and general practitioners",420,59.67,124120,59,122730,2003,"Idaho",1363380
"842","16","ID",1141,"registered nurses",10200,22.84,47500,21.75,45230,2003,"Idaho",1363380
"843","16","ID",2021,"dental hygienists",1030,26.77,55670,27.29,56760,2003,"Idaho",1363380
"844","17","IL",1020,"dentists",6690,38.14,79330,27.96,58160,2003,"Illinois",12556006
"845","17","IL",1062,"family and general practitioners",5390,62.82,130660,57.63,119870,2003,"Illinois",12556006
"846","17","IL",1141,"registered nurses",100280,23.17,48200,22.81,47440,2003,"Illinois",12556006
"847","17","IL",2021,"dental hygienists",3160,25.29,52600,26.35,54800,2003,"Illinois",12556006
"848","18","IN",1020,"dentists",1470,72.13,150040,NA,NA,2003,"Indiana",6196638
"849","18","IN",1062,"family and general practitioners",3100,71.15,148000,68,141440,2003,"Indiana",6196638
"850","18","IN",1141,"registered nurses",49240,21.26,44220,20.98,43640,2003,"Indiana",6196638
"851","18","IN",2021,"dental hygienists",3560,24.49,50940,25.02,52040,2003,"Indiana",6196638
"852","19","IA",1020,"dentists",800,78.45,163170,NA,NA,2003,"Iowa",2941999
"853","19","IA",1062,"family and general practitioners",1480,82.35,171290,NA,NA,2003,"Iowa",2941999
"854","19","IA",1141,"registered nurses",27020,19.74,41050,19.37,40300,2003,"Iowa",2941999
"855","19","IA",2021,"dental hygienists",1690,24.68,51330,25,51990,2003,"Iowa",2941999
"856","20","KS",1020,"dentists",400,54.79,113960,43.14,89720,2003,"Kansas",2723004
"857","20","KS",1062,"family and general practitioners",790,78.62,163530,NA,NA,2003,"Kansas",2723004
"858","20","KS",1141,"registered nurses",24900,20.48,42600,20.02,41630,2003,"Kansas",2723004
"859","20","KS",2021,"dental hygienists",2170,25.36,52750,25.7,53460,2003,"Kansas",2723004
"860","21","KY",1020,"dentists",800,66.65,138630,64.06,133250,2003,"Kentucky",4117170
"861","21","KY",1062,"family and general practitioners",700,67.93,141300,63.68,132450,2003,"Kentucky",4117170
"862","21","KY",1141,"registered nurses",35860,21.78,45300,21.03,43740,2003,"Kentucky",4117170
"863","21","KY",2021,"dental hygienists",1330,19.93,41460,21.07,43830,2003,"Kentucky",4117170
"864","22","LA",1020,"dentists",1340,58.04,120710,55.71,115870,2003,"Louisiana",4521042
"865","22","LA",1062,"family and general practitioners",820,80.15,166710,NA,NA,2003,"Louisiana",4521042
"866","22","LA",1141,"registered nurses",37450,22.37,46530,21.75,45230,2003,"Louisiana",4521042
"867","22","LA",2021,"dental hygienists",1720,21.8,45340,23.85,49610,2003,"Louisiana",4521042
"868","23","ME",1020,"dentists",660,48.06,99960,34.02,70750,2003,"Maine",1306513
"869","23","ME",1062,"family and general practitioners",1060,56.46,117450,54.14,112610,2003,"Maine",1306513
"870","23","ME",1141,"registered nurses",11740,22.95,47730,22.4,46590,2003,"Maine",1306513
"871","23","ME",2021,"dental hygienists",910,23.96,49840,24.32,50590,2003,"Maine",1306513
"872","24","MD",1020,"dentists",2510,59.35,123450,50.57,105190,2003,"Maryland",5496269
"873","24","MD",1062,"family and general practitioners",2340,78.83,163970,NA,NA,2003,"Maryland",5496269
"874","24","MD",1141,"registered nurses",47460,29.77,61920,30.48,63390,2003,"Maryland",5496269
"875","24","MD",2021,"dental hygienists",1310,26.52,55170,26.53,55180,2003,"Maryland",5496269
"876","25","MA",1020,"dentists",2970,67.21,139800,55.77,116000,2003,"Massachusetts",6422565
"877","25","MA",1062,"family and general practitioners",2190,78.89,164080,NA,NA,2003,"Massachusetts",6422565
