"","st","job_type","occ_code","tot_employment","annual_mean_income","year","State","Est_Population"
"1301","ID","Physicians and Surgeons, All",1060,630,146098.412698413,2004,"Idaho",1391802
"1302","IL","Dental Hygienists",2021,2730,55510,2004,"Illinois",12589773
"1303","IL","Dentists, All",1020,4130,81940,2004,"Illinois",12589773
"1304","IL","Nurses",1141,100330,49770,2004,"Illinois",12589773
"1305","IL","Physicians and Surgeons, All",1060,16380,139735.152625153,2004,"Illinois",12589773
"1306","IN","Dental Hygienists",2021,3600,53200,2004,"Indiana",6233007
"1307","IN","Dentists, All",1020,1490,143687.11409396,2004,"Indiana",6233007
"1308","IN","Nurses",1141,48810,46900,2004,"Indiana",6233007
"1309","IN","Physicians and Surgeons, All",1060,9030,154253.776301218,2004,"Indiana",6233007
"1310","KS","Dental Hygienists",2021,1510,53900,2004,"Kansas",2734373
"1311","KS","Dentists, All",1020,880,111730,2004,"Kansas",2734373
"1312","KS","Nurses",1141,25800,45990,2004,"Kansas",2734373
"1313","KS","Physicians and Surgeons, All",1060,3060,162657.320261438,2004,"Kansas",2734373
"1314","KY","Dental Hygienists",2021,1500,42360,2004,"Kentucky",4146101
"1315","KY","Dentists, All",1020,740,NA,2004,"Kentucky",4146101
"1316","KY","Nurses",1141,36430,48050,2004,"Kentucky",4146101
"1317","KY","Physicians and Surgeons, All",1060,5650,151721.292035398,2004,"Kentucky",4146101
"1318","LA","Dental Hygienists",2021,1510,42450,2004,"Louisiana",4552238
"1319","LA","Dentists, All",1020,1000,110660,2004,"Louisiana",4552238
"1320","LA","Nurses",1141,39140,48820,2004,"Louisiana",4552238
"1321","LA","Physicians and Surgeons, All",1060,4280,166401.542056075,2004,"Louisiana",4552238
"1322","MA","Dental Hygienists",2021,5820,64890,2004,"Massachusetts",6412281
"1323","MA","Dentists, All",1020,2260,141320,2004,"Massachusetts",6412281
"1324","MA","Nurses",1141,75060,62490,2004,"Massachusetts",6412281
"1325","MA","Physicians and Surgeons, All",1060,11710,145985.192143467,2004,"Massachusetts",6412281
"1326","MD","Dental Hygienists",2021,2200,50760,2004,"Maryland",5546935
"1327","MD","Dentists, All",1020,1960,132400,2004,"Maryland",5546935
"1328","MD","Nurses",1141,48630,64720,2004,"Maryland",5546935
"1329","MD","Physicians and Surgeons, All",1060,11660,139748.619210978,2004,"Maryland",5546935
"1330","ME","Dental Hygienists",2021,930,54810,2004,"Maine",1313688
"1331","ME","Dentists, All",1020,510,118140,2004,"Maine",1313688
"1332","ME","Nurses",1141,13340,50940,2004,"Maine",1313688
"1333","ME","Physicians and Surgeons, All",1060,1900,152315.105263158,2004,"Maine",1313688
"1334","MI","Dental Hygienists",2021,8460,55070,2004,"Michigan",10055315
"1335","MI","Dentists, All",1020,3290,156880.425531915,2004,"Michigan",10055315
"1336","MI","Nurses",1141,79320,54320,2004,"Michigan",10055315
"1337","MI","Physicians and Surgeons, All",1060,18150,147236.787878788,2004,"Michigan",10055315
"1338","MN","Dental Hygienists",2021,3600,58870,2004,"Minnesota",5087713
"1339","MN","Dentists, All",1020,0,NA,2004,"Minnesota",5087713
"1340","MN","Nurses",1141,48220,57130,2004,"Minnesota",5087713
"1341","MN","Physicians and Surgeons, All",1060,10900,162720.119266055,2004,"Minnesota",5087713
"1342","MO","Dental Hygienists",2021,1860,57310,2004,"Missouri",5747741
"1343","MO","Dentists, All",1020,1630,119633.251533742,2004,"Missouri",5747741
"1344","MO","Nurses",1141,53630,48220,2004,"Missouri",5747741
"1345","MO","Physicians and Surgeons, All",1060,8410,145718.168846611,2004,"Missouri",5747741
"1346","MS","Dental Hygienists",2021,850,32220,2004,"Mississippi",2889010
"1347","MS","Dentists, All",1020,330,68100,2004,"Mississippi",2889010
"1348","MS","Nurses",1141,25800,46680,2004,"Mississippi",2889010
"1349","MS","Physicians and Surgeons, All",1060,3290,144610.486322188,2004,"Mississippi",2889010
"1350","MT","Dental Hygienists",2021,480,49300,2004,"Montana",930009
"1351","MT","Dentists, All",1020,270,93520,2004,"Montana",930009
"1352","MT","Nurses",1141,7610,46070,2004,"Montana",930009
"1353","MT","Physicians and Surgeons, All",1060,690,124159.565217391,2004,"Montana",930009
"1354","NC","Dental Hygienists",2021,4680,56240,2004,"North Carolina",8553152
"1355","NC","Dentists, All",1020,2360,NA,2004,"North Carolina",8553152
"1356","NC","Nurses",1141,70630,49580,2004,"North Carolina",8553152
"1357","NC","Physicians and Surgeons, All",1060,13130,143469.154607768,2004,"North Carolina",8553152
"1358","ND","Dental Hygienists",2021,470,51320,2004,"North Dakota",644705
"1359","ND","Dentists, All",1020,150,152730,2004,"North Dakota",644705
"1360","ND","Nurses",1141,6430,45400,2004,"North Dakota",644705
"1361","ND","Physicians and Surgeons, All",1060,1000,165176.1,2004,"North Dakota",644705
"1362","NE","Dental Hygienists",2021,830,47890,2004,"Nebraska",1749370
"1363","NE","Dentists, All",1020,740,146380,2004,"Nebraska",1749370
"1364","NE","Nurses",1141,17340,47680,2004,"Nebraska",1749370
"1365","NE","Physicians and Surgeons, All",1060,2900,164173.75862069,2004,"Nebraska",1749370
"1366","NH","Dental Hygienists",2021,1050,63580,2004,"New Hampshire",1290121
"1367","NH","Dentists, All",1020,410,164340,2004,"New Hampshire",1290121
"1368","NH","Nurses",1141,11840,50250,2004,"New Hampshire",1290121
"1369","NH","Physicians and Surgeons, All",1060,1940,163365.257731959,2004,"New Hampshire",1290121
"1370","NJ","Dental Hygienists",2021,4810,60640,2004,"New Jersey",8634561
"1371","NJ","Dentists, All",1020,2380,144004.327731092,2004,"New Jersey",8634561
"1372","NJ","Nurses",1141,74540,59810,2004,"New Jersey",8634561
"1373","NJ","Physicians and Surgeons, All",1060,13900,149832.928057554,2004,"New Jersey",8634561
"1374","NM","Dental Hygienists",2021,630,53250,2004,"New Mexico",1903808
"1375","NM","Dentists, All",1020,360,118020,2004,"New Mexico",1903808
"1376","NM","Nurses",1141,12150,51690,2004,"New Mexico",1903808
"1377","NM","Physicians and Surgeons, All",1060,2750,145538.8,2004,"New Mexico",1903808
"1378","NV","Dental Hygienists",2021,1300,65310,2004,"Nevada",2346222
"1379","NV","Dentists, All",1020,830,127490,2004,"Nevada",2346222
"1380","NV","Nurses",1141,14170,57510,2004,"Nevada",2346222
"1381","NV","Physicians and Surgeons, All",1060,1750,181262.228571429,2004,"Nevada",2346222
"1382","NY","Dental Hygienists",2021,10000,56660,2004,"New York",19171567
"1383","NY","Dentists, All",1020,6460,136056.996904025,2004,"New York",19171567
"1384","NY","Nurses",1141,165800,60680,2004,"New York",19171567
"1385","NY","Physicians and Surgeons, All",1060,42610,135678.460455292,2004,"New York",19171567
"1386","OH","Dental Hygienists",2021,5970,53650,2004,"Ohio",11452251
"1387","OH","Dentists, All",1020,3360,160081.339285714,2004,"Ohio",11452251
"1388","OH","Nurses",1141,104910,50560,2004,"Ohio",11452251
"1389","OH","Physicians and Surgeons, All",1060,27600,153204.22826087,2004,"Ohio",11452251
"1390","OK","Dental Hygienists",2021,1010,59230,2004,"Oklahoma",3525233
"1391","OK","Dentists, All",1020,1150,148710,2004,"Oklahoma",3525233
"1392","OK","Nurses",1141,22540,45230,2004,"Oklahoma",3525233
"1393","OK","Physicians and Surgeons, All",1060,4780,143932.824267782,2004,"Oklahoma",3525233
"1394","OR","Dental Hygienists",2021,2940,67880,2004,"Oregon",3569463
"1395","OR","Nurses",1141,26130,56400,2004,"Oregon",3569463
"1396","PA","Dental Hygienists",2021,6840,49250,2004,"Pennsylvania",12410722
"1397","PA","Dentists, All",1020,3490,118487.736389685,2004,"Pennsylvania",12410722
"1398","PA","Nurses",1141,122070,52770,2004,"Pennsylvania",12410722
"1399","PA","Physicians and Surgeons, All",1060,23060,137865.875975716,2004,"Pennsylvania",12410722
"1400","RI","Dental Hygienists",2021,610,58140,2004,"Rhode Island",1074579
"1401","RI","Dentists, All",1020,0,NA,2004,"Rhode Island",1074579
"1402","RI","Nurses",1141,10680,55360,2004,"Rhode Island",1074579
"1403","RI","Physicians and Surgeons, All",1060,2410,141398.506224066,2004,"Rhode Island",1074579
"1404","SC","Dental Hygienists",2021,1940,NA,2004,"South Carolina",4210921
"1405","SC","Dentists, All",1020,1340,136490,2004,"South Carolina",4210921
"1406","SC","Nurses",1141,30120,50660,2004,"South Carolina",4210921
"1407","SC","Physicians and Surgeons, All",1060,3690,152780.189701897,2004,"South Carolina",4210921
"1408","SD","Dental Hygienists",2021,420,46690,2004,"South Dakota",770396
"1409","SD","Dentists, All",1020,270,157000,2004,"South Dakota",770396
"1410","SD","Nurses",1141,8960,45410,2004,"South Dakota",770396
"1411","SD","Physicians and Surgeons, All",1060,990,163510.505050505,2004,"South Dakota",770396
"1412","TN","Dental Hygienists",2021,2260,52510,2004,"Tennessee",5910809
"1413","TN","Dentists, All",1020,0,NA,2004,"Tennessee",5910809
"1414","TN","Nurses",1141,52220,48460,2004,"Tennessee",5910809
"1415","TN","Physicians and Surgeons, All",1060,6450,128841.054263566,2004,"Tennessee",5910809
"1416","TX","Dental Hygienists",2021,9850,61320,2004,"Texas",22394023
"1417","TX","Dentists, All",1020,5780,141045.138408305,2004,"Texas",22394023
"1418","TX","Nurses",1141,143630,52670,2004,"Texas",22394023
"1419","TX","Physicians and Surgeons, All",1060,24140,161011.184755592,2004,"Texas",22394023
"1420","UT","Dental Hygienists",2021,1090,53220,2004,"Utah",2401580
"1421","UT","Dentists, All",1020,0,NA,2004,"Utah",2401580
"1422","UT","Nurses",1141,13790,50650,2004,"Utah",2401580
"1423","UT","Physicians and Surgeons, All",1060,1750,154402.685714286,2004,"Utah",2401580
"1424","VA","Dental Hygienists",2021,3720,81880,2004,"Virginia",7475575
"1425","VA","Dentists, All",1020,1510,142660,2004,"Virginia",7475575
"1426","VA","Nurses",1141,53970,51200,2004,"Virginia",7475575
"1427","VA","Physicians and Surgeons, All",1060,10810,147889.426456984,2004,"Virginia",7475575
"1428","VT","Dental Hygienists",2021,670,52980,2004,"Vermont",619920
"1429","VT","Dentists, All",1020,150,166160,2004,"Vermont",619920
"1430","VT","Nurses",1141,5700,47720,2004,"Vermont",619920
"1431","VT","Physicians and Surgeons, All",1060,1180,124514.576271186,2004,"Vermont",619920
"1432","WA","Dental Hygienists",2021,3970,76090,2004,"Washington",6178645
"1433","WA","Dentists, All",1020,1290,126210,2004,"Washington",6178645
"1434","WA","Nurses",1141,44290,58600,2004,"Washington",6178645
"1435","WA","Physicians and Surgeons, All",1060,7560,157952.328042328,2004,"Washington",6178645
"1436","WI","Dental Hygienists",2021,4070,52970,2004,"Wisconsin",5514026
"1437","WI","Dentists, All",1020,2490,108770,2004,"Wisconsin",5514026
"1438","WI","Nurses",1141,45880,52550,2004,"Wisconsin",5514026
"1439","WI","Physicians and Surgeons, All",1060,6960,NA,2004,"Wisconsin",5514026
"1440","WV","Dental Hygienists",2021,980,42470,2004,"West Virginia",1816438
"1441","WV","Dentists, All",1020,470,132620,2004,"West Virginia",1816438
"1442","WV","Nurses",1141,15380,46890,2004,"West Virginia",1816438
"1443","WV","Physicians and Surgeons, All",1060,3320,154514.84939759,2004,"West Virginia",1816438
"1444","WY","Dental Hygienists",2021,310,52900,2004,"Wyoming",509106
"1445","WY","Dentists, All",1020,130,131260,2004,"Wyoming",509106
"1446","WY","Nurses",1141,3660,45340,2004,"Wyoming",509106
"1447","WY","Physicians and Surgeons, All",1060,480,151254.375,2004,"Wyoming",509106
"1448","AK","Dentists, General",1021,0,159490,2004,"Alaska",659286
"1449","AK","Physicians and Surgeons, Family Practitioner",1062,350,113110,2004,"Alaska",659286
"1450","AL","Dentists, General",1021,600,129530,2004,"Alabama",4530729
"1451","AL","Physicians and Surgeons, Family Practitioner",1062,940,145300,2004,"Alabama",4530729
"1452","AR","Dentists, General",1021,1260,82950,2004,"Arkansas",2749686
"1453","AR","Physicians and Surgeons, Family Practitioner",1062,1070,151070,2004,"Arkansas",2749686
"1454","AZ","Dentists, General",1021,1860,140630,2004,"Arizona",5652404
"1455","AZ","Physicians and Surgeons, Family Practitioner",1062,2430,161780,2004,"Arizona",5652404
"1456","CA","Dentists, General",1021,10400,141470,2004,"California",35574576
"1457","CA","Physicians and Surgeons, Family Practitioner",1062,7240,119010,2004,"California",35574576
"1458","CO","Dentists, General",1021,0,157460,2004,"Colorado",4575013
"1459","CO","Physicians and Surgeons, Family Practitioner",1062,880,120410,2004,"Colorado",4575013
"1460","CT","Dentists, General",1021,1130,133250,2004,"Connecticut",3496094
"1461","CT","Physicians and Surgeons, Family Practitioner",1062,590,144520,2004,"Connecticut",3496094
"1462","DC","Dentists, General",1021,290,102210,2004,"District of Columbia",567754
"1463","DC","Physicians and Surgeons, Family Practitioner",1062,2940,73460,2004,"District of Columbia",567754
"1464","DE","Dentists, General",1021,290,129900,2004,"Delaware",830803
"1465","DE","Physicians and Surgeons, Family Practitioner",1062,190,122510,2004,"Delaware",830803
"1466","FL","Dentists, General",1021,4450,120900,2004,"Florida",17415318
"1467","FL","Physicians and Surgeons, Family Practitioner",1062,8920,152410,2004,"Florida",17415318
"1468","GA","Dentists, General",1021,2430,149780,2004,"Georgia",8769252
"1469","GA","Physicians and Surgeons, Family Practitioner",1062,1140,144230,2004,"Georgia",8769252
"1470","HI","Dentists, General",1021,0,171420,2004,"Hawaii",1273569
"1471","HI","Physicians and Surgeons, Family Practitioner",1062,180,136770,2004,"Hawaii",1273569
"1472","IA","Dentists, General",1021,600,143460,2004,"Iowa",2953635
"1473","IA","Physicians and Surgeons, Family Practitioner",1062,1260,147600,2004,"Iowa",2953635
"1474","ID","Dentists, General",1021,360,NA,2004,"Idaho",1391802
"1475","ID","Physicians and Surgeons, Family Practitioner",1062,220,138000,2004,"Idaho",1391802
"1476","IL","Dentists, General",1021,4130,81940,2004,"Illinois",12589773
"1477","IL","Physicians and Surgeons, Family Practitioner",1062,5180,134500,2004,"Illinois",12589773
"1478","IN","Dentists, General",1021,1420,140990,2004,"Indiana",6233007
"1479","IN","Physicians and Surgeons, Family Practitioner",1062,2900,140250,2004,"Indiana",6233007
"1480","KS","Dentists, General",1021,880,111730,2004,"Kansas",2734373
"1481","KS","Physicians and Surgeons, Family Practitioner",1062,760,160870,2004,"Kansas",2734373
"1482","KY","Dentists, General",1021,740,110510,2004,"Kentucky",4146101
"1483","KY","Physicians and Surgeons, Family Practitioner",1062,880,142010,2004,"Kentucky",4146101
"1484","LA","Dentists, General",1021,1000,110660,2004,"Louisiana",4552238
"1485","LA","Physicians and Surgeons, Family Practitioner",1062,920,163350,2004,"Louisiana",4552238
"1486","MA","Dentists, General",1021,2260,141320,2004,"Massachusetts",6412281
"1487","MA","Physicians and Surgeons, Family Practitioner",1062,1390,147860,2004,"Massachusetts",6412281
"1488","MD","Dentists, General",1021,1960,132400,2004,"Maryland",5546935
"1489","MD","Physicians and Surgeons, Family Practitioner",1062,2210,173130,2004,"Maryland",5546935
"1490","ME","Dentists, General",1021,510,118140,2004,"Maine",1313688
"1491","ME","Physicians and Surgeons, Family Practitioner",1062,0,121750,2004,"Maine",1313688
"1492","MI","Dentists, General",1021,3010,157660,2004,"Michigan",10055315
"1493","MI","Physicians and Surgeons, Family Practitioner",1062,3140,115650,2004,"Michigan",10055315
"1494","MN","Dentists, General",1021,0,135250,2004,"Minnesota",5087713
"1495","MN","Physicians and Surgeons, Family Practitioner",1062,4050,147150,2004,"Minnesota",5087713
"1496","MO","Dentists, General",1021,1580,119190,2004,"Missouri",5747741
"1497","MO","Physicians and Surgeons, Family Practitioner",1062,2820,124220,2004,"Missouri",5747741
"1498","MS","Dentists, General",1021,330,68100,2004,"Mississippi",2889010
"1499","MS","Physicians and Surgeons, Family Practitioner",1062,1960,147610,2004,"Mississippi",2889010
"1500","MT","Dentists, General",1021,270,93520,2004,"Montana",930009
"1501","MT","Physicians and Surgeons, Family Practitioner",1062,320,115930,2004,"Montana",930009
"1502","NC","Dentists, General",1021,2290,170290,2004,"North Carolina",8553152
"1503","NC","Physicians and Surgeons, Family Practitioner",1062,3720,144650,2004,"North Carolina",8553152
"1504","ND","Dentists, General",1021,150,152730,2004,"North Dakota",644705
"1505","ND","Physicians and Surgeons, Family Practitioner",1062,360,169020,2004,"North Dakota",644705
"1506","NE","Dentists, General",1021,740,146380,2004,"Nebraska",1749370
"1507","NE","Physicians and Surgeons, Family Practitioner",1062,770,141830,2004,"Nebraska",1749370
"1508","NH","Dentists, General",1021,410,164340,2004,"New Hampshire",1290121
"1509","NH","Physicians and Surgeons, Family Practitioner",1062,320,141880,2004,"New Hampshire",1290121
"1510","NJ","Dentists, General",1021,2230,145660,2004,"New Jersey",8634561
"1511","NJ","Physicians and Surgeons, Family Practitioner",1062,2660,132070,2004,"New Jersey",8634561
"1512","NM","Dentists, General",1021,360,118020,2004,"New Mexico",1903808
"1513","NM","Physicians and Surgeons, Family Practitioner",1062,1520,146260,2004,"New Mexico",1903808
"1514","NV","Dentists, General",1021,830,127490,2004,"Nevada",2346222
"1515","NV","Physicians and Surgeons, Family Practitioner",1062,0,181150,2004,"Nevada",2346222
"1516","NY","Dentists, General",1021,5980,138570,2004,"New York",19171567
"1517","NY","Physicians and Surgeons, Family Practitioner",1062,3680,138900,2004,"New York",19171567
"1518","OH","Dentists, General",1021,2940,158730,2004,"Ohio",11452251
"1519","OH","Physicians and Surgeons, Family Practitioner",1062,4010,145190,2004,"Ohio",11452251
"1520","OK","Dentists, General",1021,1150,148710,2004,"Oklahoma",3525233
"1521","OK","Physicians and Surgeons, Family Practitioner",1062,2510,165490,2004,"Oklahoma",3525233
"1522","PA","Dentists, General",1021,3070,109660,2004,"Pennsylvania",12410722
"1523","PA","Physicians and Surgeons, Family Practitioner",1062,8890,132590,2004,"Pennsylvania",12410722
"1524","RI","Dentists, General",1021,0,111040,2004,"Rhode Island",1074579
"1525","RI","Physicians and Surgeons, Family Practitioner",1062,470,173980,2004,"Rhode Island",1074579
"1526","SC","Dentists, General",1021,1340,136490,2004,"South Carolina",4210921
"1527","SC","Physicians and Surgeons, Family Practitioner",1062,1240,134400,2004,"South Carolina",4210921
"1528","SD","Dentists, General",1021,270,157000,2004,"South Dakota",770396
"1529","SD","Physicians and Surgeons, Family Practitioner",1062,220,127930,2004,"South Dakota",770396
"1530","TN","Dentists, General",1021,0,94460,2004,"Tennessee",5910809
"1531","TN","Physicians and Surgeons, Family Practitioner",1062,2160,92270,2004,"Tennessee",5910809
"1532","TX","Dentists, General",1021,5710,140540,2004,"Texas",22394023
"1533","TX","Physicians and Surgeons, Family Practitioner",1062,7710,135660,2004,"Texas",22394023
"1534","UT","Dentists, General",1021,0,158870,2004,"Utah",2401580
"1535","UT","Physicians and Surgeons, Family Practitioner",1062,560,141770,2004,"Utah",2401580
"1536","VA","Dentists, General",1021,1510,142660,2004,"Virginia",7475575
"1537","VA","Physicians and Surgeons, Family Practitioner",1062,2590,132300,2004,"Virginia",7475575
"1538","VT","Dentists, General",1021,150,166160,2004,"Vermont",619920
"1539","VT","Physicians and Surgeons, Family Practitioner",1062,390,126190,2004,"Vermont",619920
"1540","WA","Dentists, General",1021,1290,126210,2004,"Washington",6178645
"1541","WA","Physicians and Surgeons, Family Practitioner",1062,2180,153000,2004,"Washington",6178645
"1542","WI","Dentists, General",1021,2490,108770,2004,"Wisconsin",5514026
"1543","WI","Physicians and Surgeons, Family Practitioner",1062,2180,161470,2004,"Wisconsin",5514026
"1544","WV","Dentists, General",1021,470,132620,2004,"West Virginia",1816438
"1545","WV","Physicians and Surgeons, Family Practitioner",1062,1020,152790,2004,"West Virginia",1816438
"1546","WY","Dentists, General",1021,130,131260,2004,"Wyoming",509106
"1547","WY","Physicians and Surgeons, Family Practitioner",1062,220,127430,2004,"Wyoming",509106
"1548","AK","Dental Hygienists",2021,270,84200,2005,"Alaska",666946
"1549","AK","Dentists, All",1020,0,NA,2005,"Alaska",666946
"1550","AK","Nurses",1141,5050,60820,2005,"Alaska",666946
"1551","AK","Physicians and Surgeons, All",1060,530,165846.41509434,2005,"Alaska",666946
"1552","AL","Dental Hygienists",2021,2940,37120,2005,"Alabama",4569805
"1553","AL","Dentists, All",1020,760,130905.526315789,2005,"Alabama",4569805
"1554","AL","Nurses",1141,37270,48840,2005,"Alabama",4569805
"1555","AL","Physicians and Surgeons, All",1060,5410,158234.029574861,2005,"Alabama",4569805
"1556","AR","Dental Hygienists",2021,1020,44920,2005,"Arkansas",2781097
"1557","AR","Dentists, All",1020,700,NA,2005,"Arkansas",2781097
"1558","AR","Nurses",1141,20250,48620,2005,"Arkansas",2781097
"1559","AR","Physicians and Surgeons, All",1060,3860,130223.704663212,2005,"Arkansas",2781097
"1560","AZ","Dental Hygienists",2021,2540,71450,2005,"Arizona",5839077
"1561","AZ","Dentists, All",1020,2060,130856.504854369,2005,"Arizona",5839077
"1562","AZ","Nurses",1141,31010,56280,2005,"Arizona",5839077
"1563","AZ","Physicians and Surgeons, All",1060,6800,151932.176470588,2005,"Arizona",5839077
"1564","CA","Dental Hygienists",2021,19430,76440,2005,"California",35827943
"1565","CA","Dentists, All",1020,10660,136408.348968105,2005,"California",35827943
"1566","CA","Nurses",1141,226350,70430,2005,"California",35827943
"1567","CA","Physicians and Surgeons, All",1060,43870,146186.767722817,2005,"California",35827943
"1568","CO","Dental Hygienists",2021,3370,71220,2005,"Colorado",4631888
"1569","CO","Dentists, All",1020,1680,147300,2005,"Colorado",4631888
"1570","CO","Nurses",1141,33050,56340,2005,"Colorado",4631888
"1571","CO","Physicians and Surgeons, All",1060,4370,153557.871853547,2005,"Colorado",4631888
"1572","CT","Dental Hygienists",2021,2830,61470,2005,"Connecticut",3506956
"1573","CT","Dentists, All",1020,1130,166570,2005,"Connecticut",3506956
"1574","CT","Nurses",1141,34120,61990,2005,"Connecticut",3506956
"1575","CT","Physicians and Surgeons, All",1060,5610,145929.411764706,2005,"Connecticut",3506956
"1576","DC","Dental Hygienists",2021,180,65400,2005,"District of Columbia",567136
"1577","DC","Dentists, All",1020,370,NA,2005,"District of Columbia",567136
"1578","DC","Nurses",1141,8340,59130,2005,"District of Columbia",567136
"1579","DC","Physicians and Surgeons, All",1060,6420,101875.560747664,2005,"District of Columbia",567136
"1580","DE","Dental Hygienists",2021,590,57320,2005,"Delaware",845150
"1581","DE","Dentists, All",1020,280,154590,2005,"Delaware",845150
"1582","DE","Nurses",1141,7710,58260,2005,"Delaware",845150
"1583","DE","Physicians and Surgeons, All",1060,1390,158654.532374101,2005,"Delaware",845150
"1584","FL","Dental Hygienists",2021,9180,50360,2005,"Florida",17842038
"1585","FL","Dentists, All",1020,5200,132859.634615385,2005,"Florida",17842038
"1586","FL","Nurses",1141,138760,53190,2005,"Florida",17842038
"1587","FL","Physicians and Surgeons, All",1060,29230,157308.563120082,2005,"Florida",17842038
"1588","GA","Dental Hygienists",2021,5110,53870,2005,"Georgia",8925922
"1589","GA","Dentists, All",1020,2540,145440,2005,"Georgia",8925922
"1590","GA","Nurses",1141,59720,52430,2005,"Georgia",8925922
"1591","GA","Physicians and Surgeons, All",1060,13120,156245.9375,2005,"Georgia",8925922
"1592","HI","Dental Hygienists",2021,850,54250,2005,"Hawaii",1292729
"1593","HI","Dentists, All",1020,330,152880,2005,"Hawaii",1292729
"1594","HI","Nurses",1141,9240,65490,2005,"Hawaii",1292729
"1595","HI","Physicians and Surgeons, All",1060,1270,138181.88976378,2005,"Hawaii",1292729
"1596","IA","Dental Hygienists",2021,2120,57710,2005,"Iowa",2964454
"1597","IA","Dentists, All",1020,540,137230,2005,"Iowa",2964454
"1598","IA","Nurses",1141,29940,45330,2005,"Iowa",2964454
"1599","IA","Physicians and Surgeons, All",1060,4020,147426.915422886,2005,"Iowa",2964454
"1600","ID","Dental Hygienists",2021,760,65670,2005,"Idaho",1428241
"1601","ID","Dentists, All",1020,620,117220,2005,"Idaho",1428241
"1602","ID","Nurses",1141,9390,49460,2005,"Idaho",1428241
"1603","ID","Physicians and Surgeons, All",1060,910,NA,2005,"Idaho",1428241
"1604","IL","Dental Hygienists",2021,5770,60450,2005,"Illinois",12609903
"1605","IL","Dentists, All",1020,5120,105893.0859375,2005,"Illinois",12609903
"1606","IL","Nurses",1141,102510,53470,2005,"Illinois",12609903
"1607","IL","Physicians and Surgeons, All",1060,16260,141799.649446494,2005,"Illinois",12609903
"1608","IN","Dental Hygienists",2021,4150,56940,2005,"Indiana",6278616
"1609","IN","Dentists, All",1020,1730,143789.36416185,2005,"Indiana",6278616
"1610","IN","Nurses",1141,52330,50020,2005,"Indiana",6278616
"1611","IN","Physicians and Surgeons, All",1060,8030,156848.742216687,2005,"Indiana",6278616
"1612","KS","Dental Hygienists",2021,1870,61140,2005,"Kansas",2745299
"1613","KS","Dentists, All",1020,670,117980,2005,"Kansas",2745299
"1614","KS","Nurses",1141,25330,46990,2005,"Kansas",2745299
"1615","KS","Physicians and Surgeons, All",1060,3100,171548.903225806,2005,"Kansas",2745299
"1616","KY","Dental Hygienists",2021,1530,49970,2005,"Kentucky",4182742
"1617","KY","Dentists, All",1020,630,103360,2005,"Kentucky",4182742
"1618","KY","Nurses",1141,37720,50370,2005,"Kentucky",4182742
"1619","KY","Physicians and Surgeons, All",1060,5510,150510.889292196,2005,"Kentucky",4182742
"1620","LA","Dental Hygienists",2021,1590,49670,2005,"Louisiana",4576628
"1621","LA","Dentists, All",1020,1350,104618.888888889,2005,"Louisiana",4576628
"1622","LA","Nurses",1141,39510,50950,2005,"Louisiana",4576628
"1623","LA","Physicians and Surgeons, All",1060,5260,160405.418250951,2005,"Louisiana",4576628
"1624","MA","Dental Hygienists",2021,5690,66640,2005,"Massachusetts",6403290
"1625","MA","Dentists, All",1020,2120,140115.849056604,2005,"Massachusetts",6403290
"1626","MA","Nurses",1141,76870,66250,2005,"Massachusetts",6403290
"1627","MA","Physicians and Surgeons, All",1060,14410,139412.852185982,2005,"Massachusetts",6403290
"1628","MD","Dental Hygienists",2021,2340,54880,2005,"Maryland",5592379
"1629","MD","Dentists, All",1020,2190,NA,2005,"Maryland",5592379
"1630","MD","Nurses",1141,49010,67330,2005,"Maryland",5592379
"1631","MD","Physicians and Surgeons, All",1060,11180,146324.409660107,2005,"Maryland",5592379
"1632","ME","Dental Hygienists",2021,820,53820,2005,"Maine",1318787
"1633","ME","Dentists, All",1020,470,182840,2005,"Maine",1318787
"1634","ME","Nurses",1141,13330,52840,2005,"Maine",1318787
"1635","ME","Physicians and Surgeons, All",1060,2530,149394.229249012,2005,"Maine",1318787
"1636","MI","Dental Hygienists",2021,7850,55370,2005,"Michigan",10051137
"1637","MI","Dentists, All",1020,4570,141240,2005,"Michigan",10051137
"1638","MI","Nurses",1141,81370,57190,2005,"Michigan",10051137
"1639","MI","Physicians and Surgeons, All",1060,19680,149804.05995935,2005,"Michigan",10051137
"1640","MN","Dental Hygienists",2021,3010,61790,2005,"Minnesota",5119598
"1641","MN","Dentists, All",1020,2610,142470,2005,"Minnesota",5119598
"1642","MN","Nurses",1141,49390,60500,2005,"Minnesota",5119598
"1643","MN","Physicians and Surgeons, All",1060,11130,164920.709793351,2005,"Minnesota",5119598
"1644","MO","Dental Hygienists",2021,2130,60920,2005,"Missouri",5790300
"1645","MO","Dentists, All",1020,1720,145280.813953488,2005,"Missouri",5790300
"1646","MO","Nurses",1141,53440,50650,2005,"Missouri",5790300
"1647","MO","Physicians and Surgeons, All",1060,8570,155821.248541424,2005,"Missouri",5790300
"1648","MS","Dental Hygienists",2021,1100,37880,2005,"Mississippi",2905943
"1649","MS","Dentists, All",1020,550,140310,2005,"Mississippi",2905943
"1650","MS","Nurses",1141,25970,48460,2005,"Mississippi",2905943
"1651","MS","Physicians and Surgeons, All",1060,3610,156448.531855956,2005,"Mississippi",2905943
